DATE,DCOILWTICO
1/27/15,45.84
1/28/15,44.08
1/29/15,44.12
1/30/15,47.79
2/2/15,49.25
2/3/15,53.04
2/4/15,48.45
2/5/15,50.48
2/6/15,51.66
2/9/15,52.99
2/10/15,50.06
2/11/15,48.8
2/12/15,51.17
2/13/15,52.66
2/16/15,.
2/17/15,53.56
2/18/15,52.13
2/19/15,51.12
2/20/15,49.95
2/23/15,49.56
2/24/15,48.48
2/25/15,50.25
2/26/15,47.65
2/27/15,49.84
3/2/15,49.59
3/3/15,50.43
3/4/15,51.53
3/5/15,50.76
3/6/15,49.61
3/9/15,49.95
3/10/15,48.42
3/11/15,48.06
3/12/15,47.12
3/13/15,44.88
3/16/15,43.93
3/17/15,43.39
3/18/15,44.63
3/19/15,44.02
3/20/15,46
3/23/15,47.4
3/24/15,47.03
3/25/15,48.75
3/26/15,51.41
3/27/15,48.83
3/30/15,48.66
3/31/15,47.72
4/1/15,50.12
4/2/15,49.13
4/3/15,.
4/6/15,52.08
4/7/15,53.95
4/8/15,50.44
4/9/15,50.79
4/10/15,51.63
4/13/15,51.95
4/14/15,53.3
4/15/15,56.25
4/16/15,56.69
4/17/15,55.71
4/20/15,56.37
4/21/15,55.58
4/22/15,56.17
4/23/15,56.59
4/24/15,55.98
4/27/15,55.56
4/28/15,57.05
4/29/15,58.55
4/30/15,59.62
5/1/15,59.1
5/4/15,58.92
5/5/15,60.38
5/6/15,60.93
5/7/15,58.99
5/8/15,59.41
5/11/15,59.23
5/12/15,60.72
5/13/15,60.5
5/14/15,59.89
5/15/15,59.73
5/18/15,59.44
5/19/15,57.3
5/20/15,58.96
5/21/15,60.18
5/22/15,58.88
5/25/15,.
5/26/15,57.29
5/27/15,57.51
5/28/15,57.69
5/29/15,60.25
6/1/15,60.24
6/2/15,61.3
6/3/15,59.67
6/4/15,58
6/5/15,59.11
6/8/15,58.15
6/9/15,60.15
6/10/15,61.36
6/11/15,60.74
6/12/15,59.96
6/15/15,59.53
6/16/15,60.01
6/17/15,59.89
6/18/15,60.41
6/19/15,59.62
6/22/15,60.01
6/23/15,61.05
6/24/15,60.01
6/25/15,59.59
6/26/15,59.41
6/29/15,58.34
6/30/15,59.48
7/1/15,56.94
7/2/15,56.93
7/3/15,.
7/6/15,52.48
7/7/15,52.33
7/8/15,51.61
7/9/15,52.76
7/10/15,52.74
7/13/15,52.19
7/14/15,53.05
7/15/15,51.4
7/16/15,50.9
7/17/15,50.88
7/20/15,50.11
7/21/15,50.59
7/22/15,49.27
7/23/15,48.11
7/24/15,47.98
7/27/15,47.17
7/28/15,47.97
7/29/15,48.77
7/30/15,48.53
7/31/15,47.11
8/3/15,45.25
8/4/15,45.75
8/5/15,45.13
8/6/15,44.69
8/7/15,43.87
8/10/15,44.94
8/11/15,43.11
8/12/15,43.22
8/13/15,42.27
8/14/15,42.45
8/17/15,41.93
8/18/15,42.58
8/19/15,40.75
8/20/15,41
8/21/15,40.45
8/24/15,38.22
8/25/15,39.15
